sample,elapsed_s,total_ms,decode_wait_ms,prepare_ms,submit_to_flip_ms,other_ms
448,3.867492,8.513,4.796,2.073,1.454,0.19
449,3.875879,8.479,4.655,2.043,1.569,0.212
450,3.884319,8.357,4.648,2.04,1.474,0.195
451,3.894816,7.997,4.651,2.072,1.103,0.171
452,3.903002,8.201,4.56,2.136,1.292,0.213
453,3.911297,8.237,4.64,2.107,1.278,0.212
454,3.919535,8.329,4.517,1.739,1.87,0.203
455,3.928051,8.158,4.546,2.097,1.291,0.224
456,3.936387,8.299,4.589,2.212,1.279,0.219
457,3.946765,8.054,4.621,2.071,1.169,0.193
458,3.955051,8.133,4.524,2.05,1.351,0.208
459,3.963699,8.119,4.574,2.265,1.046,0.234
460,3.9719,8.285,4.506,2.011,1.516,0.252
461,3.979893,8.61,4.557,2.069,1.735,0.249
462,3.988556,9.425,4.572,2.505,2.089,0.259
463,3.99671,9.681,4.646,1.285,3.434,0.316
464,4.00515,9.515,4.524,1.828,2.921,0.242
465,4.013719,9.286,4.57,1.788,2.687,0.241
466,4.023597,8.404,4.668,2.368,1.132,0.236
467,4.032277,8.058,4.527,2.009,1.297,0.225
468,4.041022,7.958,4.551,2.098,1.084,0.225
469,4.048822,8.478,4.559,1.937,1.786,0.196
470,4.05766,8.239,4.674,1.954,1.389,0.222
471,4.065344,8.899,4.588,1.85,2.257,0.204
472,4.075911,7.835,4.647,1.695,1.272,0.221
473,4.084353,7.978,4.666,1.781,1.318,0.213
474,4.092341,8.293,4.712,1.785,1.621,0.175
475,4.100758,8.211,4.753,1.845,1.439,0.174
476,4.110162,8.074,4.58,1.094,1.324,1.076
477,4.117698,8.276,4.604,1.693,1.527,0.452
478,4.126443,8.233,4.601,1.668,1.409,0.555
479,4.136613,7.516,4.611,1.079,1.128,0.698
480,4.145064,8.409,4.58,1.73,1.408,0.691
481,4.153221,8.539,4.596,1.723,1.571,0.649
482,4.161615,8.504,4.624,1.694,1.517,0.669
483,4.169883,8.569,4.683,1.775,1.708,0.403
484,4.178246,8.789,4.626,1.704,1.806,0.653
485,4.187273,8.424,4.608,1.687,1.417,0.712
486,4.197539,8.047,4.617,1.638,0.98,0.812
487,4.207646,8.261,4.629,1.673,1.241,0.718
488,4.215968,8.353,4.576,1.753,1.253,0.771
489,4.224353,8.291,4.536,1.686,1.249,0.82
490,4.232323,8.852,4.536,2.408,1.355,0.553
491,4.240545,9.059,4.512,1.159,2.795,0.593
492,4.24896,8.776,4.542,1.694,2.147,0.393
493,4.256788,9.251,4.539,1.691,2.661,0.36
494,4.265546,8.956,4.508,1.914,2.038,0.496
495,4.273895,8.842,4.569,1.803,2.08,0.39
496,4.282873,8.515,4.533,1.737,1.533,0.712
497,4.291066,8.44,4.496,1.698,1.752,0.494
498,4.299366,8.743,4.535,1.734,1.705,0.769
499,4.307587,8.83,4.522,1.68,1.885,0.743
500,4.316126,8.575,4.508,1.744,1.637,0.686
501,4.326196,8.333,4.576,1.756,1.19,0.811
