sample,elapsed_s,total_ms,decode_wait_ms,prepare_ms,submit_to_flip_ms,other_ms
321,2.775828,8.857,4.561,3.432,0.699,0.165
322,2.784171,8.84,4.562,3.104,0.945,0.229
323,2.79277,8.802,4.675,3.388,0.549,0.19
324,2.800816,9.149,4.773,3.236,0.901,0.239
325,2.809658,9.067,4.676,3.551,0.639,0.201
326,2.817901,9.199,4.699,3.209,1.053,0.238
327,2.8265,8.862,4.647,2.307,0.849,1.059
328,2.834555,9.144,4.614,3.478,0.889,0.163
329,2.844587,8.737,4.586,2.81,0.769,0.572
330,2.85303,9.132,4.612,3.757,0.616,0.147
331,2.861536,8.979,4.693,2.241,0.926,1.119
332,2.8694,9.429,4.678,2.357,1.414,0.98
333,2.877801,9.416,4.602,3.429,1.179,0.206
334,2.886545,8.992,4.606,3.588,0.609,0.189
335,2.894688,9.249,4.769,3.299,0.931,0.25
336,2.905374,8.586,4.562,3.078,0.633,0.313
337,2.913229,9.051,4.575,3.649,0.645,0.182
338,2.921923,8.785,4.6,3.32,0.705,0.16
339,2.930342,8.708,4.543,3.077,0.824,0.264
340,2.938605,8.941,4.622,3.537,0.604,0.178
341,2.946682,9.306,4.678,3.384,0.974,0.27
342,2.955132,9.091,4.587,3.157,1.142,0.205
343,2.963666,8.946,4.636,3.515,0.606,0.189
344,2.974164,8.633,4.579,2.038,0.679,1.337
345,2.984056,8.614,4.598,3.211,0.641,0.164
346,2.992899,8.757,4.612,3.285,0.67,0.19
347,3.001285,9.167,4.562,3.048,0.778,0.779
348,3.009215,9.258,4.538,3.158,1.209,0.353
349,3.017888,9.119,4.592,3.112,0.848,0.567
350,3.025823,9.441,4.645,3.296,1.06,0.44
351,3.034523,8.894,4.608,3.54,0.566,0.18
352,3.042521,9.288,4.888,2.443,0.977,0.98
353,3.051182,8.932,4.712,3.165,0.832,0.223
354,3.059136,9.377,4.644,3.059,1.299,0.375
355,3.067612,9.15,4.575,3.436,0.946,0.193
356,3.076676,9.367,4.639,3.464,0.763,0.501
357,3.084804,9.553,4.679,3.207,1.177,0.49
358,3.094942,9.495,4.624,3.766,0.735,0.37
359,3.103427,9.296,4.717,2.91,1.079,0.59
360,3.111475,9.588,4.574,2.911,1.509,0.594
361,3.119599,9.791,4.488,2.285,1.804,1.214
362,3.128358,9.491,4.568,3.007,1.299,0.617
363,3.13647,9.55,4.493,3.12,1.594,0.343
364,3.144987,9.397,4.652,3.212,1.214,0.319
365,3.154928,9.205,4.618,3.842,0.552,0.193
366,3.163241,9.252,4.857,2.942,1.007,0.446
367,3.171635,9.123,4.498,3.638,0.816,0.171
368,3.180399,8.702,4.555,3.018,0.809,0.32
369,3.18832,9.091,4.596,3.041,1.181,0.273
370,3.196628,9.153,4.617,3.328,1.023,0.185
371,3.205117,8.974,4.65,3.209,0.952,0.163
372,3.216245,9.063,4.593,3.6,0.692,0.178
373,3.225606,8.895,4.636,3.394,0.708,0.157
